"","school","logo"
"308","Kutztown","http://a.espncdn.com/i/teamlogos/ncaa/500/2315.png"
"309","Lafayette","http://a.espncdn.com/i/teamlogos/ncaa/500/322.png"
"310","LaGrange College","http://a.espncdn.com/i/teamlogos/ncaa/500/548.png"
"311","Lake Erie College","http://a.espncdn.com/i/teamlogos/ncaa/500/437.png"
"312","Lake Forest","http://a.espncdn.com/i/teamlogos/ncaa/500/262.png"
"313","Lamar","http://a.espncdn.com/i/teamlogos/ncaa/500/2320.png"
"314","Lambuth","http://a.espncdn.com/i/teamlogos/ncaa/500/2321.png"
"315","Langston","http://a.espncdn.com/i/teamlogos/ncaa/500/2324.png"
"316","La Verne","http://a.espncdn.com/i/teamlogos/ncaa/500/2318.png"
"317","Lawrence","http://a.espncdn.com/i/teamlogos/ncaa/500/268.png"
"318","Lebanon Valley","http://a.espncdn.com/i/teamlogos/ncaa/500/388.png"
"319","Lehigh","http://a.espncdn.com/i/teamlogos/ncaa/500/2329.png"
"320","Lenoir-Rhyne","http://a.espncdn.com/i/teamlogos/ncaa/500/2331.png"
"321","Lewis & Clark","http://a.espncdn.com/i/teamlogos/ncaa/500/2333.png"
"322","Liberty","http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png"
"323","Limestone","http://a.espncdn.com/i/teamlogos/ncaa/500/2336.png"
"324","Lincoln (MO)","http://a.espncdn.com/i/teamlogos/ncaa/500/2876.png"
"325","Lincoln (PA)","http://a.espncdn.com/i/teamlogos/ncaa/500/2339.png"
"326","Lindenwood","http://a.espncdn.com/i/teamlogos/ncaa/500/2815.png"
"327","Lindenwood Belleville","http://a.espncdn.com/i/teamlogos/ncaa/500/3209.png"
"328","Lindsey Wilson","http://a.espncdn.com/i/teamlogos/ncaa/500/2877.png"
"329","Linfield","http://a.espncdn.com/i/teamlogos/ncaa/500/203.png"
"330","LIU Post","http://a.espncdn.com/i/teamlogos/ncaa/500/2089.png"
"331","Livingstone","http://a.espncdn.com/i/teamlogos/ncaa/500/2940.png"
"332","Lock Haven","http://a.espncdn.com/i/teamlogos/ncaa/500/209.png"
"333","Louisiana","http://a.espncdn.com/i/teamlogos/ncaa/500/309.png"
"334","Louisiana College","http://a.espncdn.com/i/teamlogos/ncaa/500/2347.png"
